"country","region","GII_2012","maternal_mortality_ratio","adolescent_fertility_rate_gii","seats_parlim_female_gii","labor_participation_female_gii","labor_participation_male_gii","ifpri_hunger_index","ifpri_under5_mortality","ifpri_undernourishment","ifpri_under5_underweight","labor_participation_female","labor_participation_total_ilo","labor_participation_total_nat","labor_participation_ratio_ilo","secondary_school_female","secondary_school_male","secondary_school_female_ratio","contraceptive_prevalence","hiv_rate_female","married_by_18_rate","adolescent_fertility_rate","labor_participation_female_ilo","labor_force_female_percent","account_at_financial_inst_female","female_legislators_officials_mgrs","mortality_under5_female","contrib_family_workers_female","credit_card_female","educational_attainment_femae","mortality_rate_female_child","belief_beating_justified","mean_stunting","mean_malnutrition","secondary_education"
"Afghanistan","Asia",1.97020216573877,0.84855642736714,0.975532481409405,0.858533848529547,-1.977488473164,0.477489371298324,NA,0.959155076162778,NA,1.11098759665517,NA,-0.75415851087549,NA,-2.20885780962218,NA,NA,-2.72813233420707,-0.812598083409929,-0.1943391196665,0.711375802768877,1.09953763106883,-1.60220472643581,-2.50227387458913,-1.26562493873014,NA,1.13083744757974,NA,-0.713223747645745,NA,NA,NA,2.02766783140922,1.53846084004746,-0.964130659468308
"Albania","Europe",-1.77447775308267,-0.857440621572094,-1.12323369133468,-0.269743655335899,-0.152015084817199,-0.749989732296342,-0.881099319155454,-0.869710876967538,-0.579771306118732,-0.634269222610088,0.151971535695531,-0.422939595114661,0.138638262501167,0.116913571525103,0.875252860852388,0.871801153286272,0.210089669277419,1.22672812150619,-2.00770385414656,-1.01895717492954,-1.05957089860588,-0.213694367387155,0.18806099511749,-0.255270653365341,NA,-0.888572648315655,1.26984014914181,0.166159229615012,1.236820793543,-1.03978970660598,-0.720771893865813,0.0721203681057932,-0.427207885260872,1.41651515292448
"Algeria","Africa",-0.637264762551217,-0.581644331905243,-1.34128731967173,0.668907377291657,-2.01518261392633,-0.668157792056697,-0.905581458763458,-0.533367713173457,-0.844570700740268,-0.690266767613251,-1.75640035865769,-1.20124746235567,-1.38352388793962,-2.18096535935253,0.24264493612872,0.00757528902227444,0.743729265887839,0.598022693946323,1.55597398983164,-1.3939089437727,-1.33559315422957,-1.71677120526423,-2.44287079103024,-0.369387242010936,-1.7857297790108,-0.632663380535157,-0.724121660772779,-0.586998692955459,-1.06636288829398,NA,NA,-0.508811713721099,-0.697201627327206,-0.802861104435248
"Angola","Africa",NA,0.809156957414732,2.17730531940336,1.86355414609036,0.564173589666946,0.0410523566868866,0.820409383600874,2.15737759717919,0.686098970608612,0.0936988624310357,NA,0.396629169460588,NA,0.760653093848501,-2.01106368028103,-3.0852636671968,-0.786495714119887,-1.49162445876215,1.00027900165764,NA,2.5605071998663,0.618350262062976,0.721216134770688,0.563623208200559,NA,2.68535792808018,NA,1.28487983378275,NA,NA,NA,0.0434595822851116,0.0599236811127773,NA
"Argentina","Americas",-0.72661721180726,-0.660443271810058,-0.149426010238545,1.81614752828089,-0.27586726160769,-0.258998090858475,-0.905581458763458,-0.869710876967538,-0.825195135280155,-1.05425081013381,-0.228476187630311,-0.290678173675502,-0.246424030747329,-0.214302034295593,0.847218848815341,0.872838900049705,0.91524636961509,1.04035676276782,-0.366680227950419,NA,-0.306274083661959,-0.308355481588927,0.0469969393723291,0.205463027200751,0.297085051958796,-0.950166856033597,-1.01888037866759,1.65750520685544,0.264360082750354,NA,NA,-1.35210021959885,-1.08004989650063,0.420099687898791
"Armenia","Asia",-1.05153520910196,-0.845620780586372,-0.669781259679227,-0.743809833430624,-0.16278483932072,-0.900014956069023,-0.905581458763458,-0.785625086019018,-0.88978035348053,-0.727598464282027,-0.420154536440756,-0.372069890686211,-0.622203028174427,0.311434222709298,0.938688487019957,0.978306394740773,1.19925525236775,0.380668884266792,-1.2729422510239,-0.823611932396441,-0.891912447235494,-0.186269200222152,0.500641941356713,-0.483172862273659,-0.233840363678544,-0.851176165058333,NA,-0.515265859199296,1.54681304281825,-0.978322820933683,-0.660177267968579,-0.645501615327427,-0.931481911448258,1.89840394236851
"Azerbaijan","Asia",-1.18962535795221,-0.794401469648243,-0.714383138202714,-0.241299684650215,0.49417018539406,-1.13187212008135,-0.905581458763458,-0.218045997116506,-0.986658180781092,-0.914256947625905,-0.0928398379818779,-0.652984162241053,-0.858078207882373,0.882474089611908,0.927061063532816,0.991237719267817,0.365883948256825,0.333003575126544,-1.39147930598992,-0.816205477703243,-0.730298981868012,0.0149962300840773,0.879576295344226,-0.679099596091634,-0.201673548694182,-0.272630571136233,-0.134703438536397,-0.471819780654968,1.68828002578648,-0.922709924373036,0.334584507177688,-0.211180476352483,-0.315067627312686,1.83696792140353
"Bangladesh","Asia",0.394349878859463,-0.0182319115858198,0.197477489388576,0.109509287139881,0.257235586316599,1.02303563956262,0.857132593012881,-0.197024549379376,0.00149565768464038,2.21227264838405,-0.202715821663829,0.93132722663665,0.502998411418228,-0.0627464884134466,0.892075574031883,0.467096879722782,0.870176823408103,0.942051829196977,-0.593245733718791,2.16341124537038,0.482358507776318,0.648429472219518,-0.109292311035781,0.360249937646512,-0.17465423070264,-0.02405394713168,2.0183281618442,-0.760120045522986,-1.02249481188167,-0.228280466003905,-0.137548619604931,1.33686940393638,2.26130122885997,-0.382408335956199
"Belarus","Europe",NA,-0.948059402462631,-0.984472291483829,1.05764164332933,-0.119705821306636,-1.93655286577119,-0.905581458763458,-1.03788245886458,-1.0577019208015,-1.13824712763856,0.202090399308846,-0.604940514228266,0.109873111425564,0.605518882450373,0.987298232555108,1.00462072509483,0.279871671274708,0.908800509540739,-0.438979424596356,-1.22170887215584,-1.05608342247941,-0.280930305987583,0.936927321436934,1.52801067012515,NA,-1.10635216846124,-1.09428146466794,0.233731867630679,1.43455992970218,NA,NA,-1.59681923699082,-1.17004781052274,NA
"Benin","Africa",1.20664487209622,0.41516225789066,0.911107545764368,-0.961880275354197,0.806493065996169,0.191077580459569,0.110427334968737,1.06426231484843,-0.560395740658619,0.756336478301802,1.21699719714729,0.736326383621149,0.670795818889371,0.75440559438058,-0.903392440901722,-0.886394930366956,-2.11671378172651,-0.989708753515336,0.997336592491816,0.480849900443084,0.716065149951611,1.02663152665931,0.718851445460533,-0.903366996370169,NA,1.03038022784928,-0.160498513793841,-0.734815756941255,-1.53682909916231,1.03105894163917,0.607260323715243,0.883441074414318,0.509913251223333,-1.02172692912297
