"Country.Name","Country.Code","Indicator.Code","Mean.Stunting","Most.Recent.Stunting"
"Senegal","SEN","SH.STA.STNT.MA.ZS",25.15,17.3
"Serbia","SRB","SH.STA.STNT.MA.ZS",7.05,5.9
"Sierra Leone","SLE","SH.STA.STNT.MA.ZS",44.4,47.5
"Singapore","SGP","SH.STA.STNT.MA.ZS",4.9,4.9
"Somalia","SOM","SH.STA.STNT.MA.ZS",42.7,42.7
"South Africa","ZAF","SH.STA.STNT.MA.ZS",35.2,35.2
"South Sudan","SSD","SH.STA.STNT.MA.ZS",39.3,39.3
"Sri Lanka","LKA","SH.STA.STNT.MA.ZS",18.3,19.8
"Sudan","SDN","SH.STA.STNT.MA.ZS",44.2,40
"Suriname","SUR","SH.STA.STNT.MA.ZS",12.8333333333333,9.9
"Swaziland","SWZ","SH.STA.STNT.MA.ZS",35.3333333333333,34.1
"Syrian Arab Republic","SYR","SH.STA.STNT.MA.ZS",30.4666666666667,28.4
"Tajikistan","TJK","SH.STA.STNT.MA.ZS",38.25,41.1
"Tanzania","TZA","SH.STA.STNT.MA.ZS",46.5,45.9
"Thailand","THA","SH.STA.STNT.MA.ZS",16.5,16.5
"Timor-Leste","TMP","SH.STA.STNT.MA.ZS",58.1666666666667,59.8
"Togo","TGO","SH.STA.STNT.MA.ZS",30.2333333333333,31.6
"Trinidad and Tobago","TTO","SH.STA.STNT.MA.ZS",7,7
"Tunisia","TUN","SH.STA.STNT.MA.ZS",9.9,9.9
"Turkey","TUR","SH.STA.STNT.MA.ZS",14.7,14.7
"Uganda","UGA","SH.STA.STNT.MA.ZS",42,37.3
"Ukraine","UKR","SH.STA.STNT.MA.ZS",22.9,22.9
"United States","USA","SH.STA.STNT.MA.ZS",4.3,4.5
"Uruguay","URY","SH.STA.STNT.MA.ZS",15.58,13.2
"Uzbekistan","UZB","SH.STA.STNT.MA.ZS",22.85,19.5
"Vanuatu","VUT","SH.STA.STNT.MA.ZS",31.2,31.2
"Vietnam","VNM","SH.STA.STNT.MA.ZS",34.7,23.4
"West Bank and Gaza","WBG","SH.STA.STNT.MA.ZS",12.3,12.3
"Yemen, Rep.","YEM","SH.STA.STNT.MA.ZS",58.5,58.5
"Zambia","ZMB","SH.STA.STNT.MA.ZS",51.45,48.8
"Zimbabwe","ZWE","SH.STA.STNT.MA.ZS",37.3,36
