"Country.Name","Country.Code","Indicator.Code","Mean.Stunting"
"Saudi Arabia","SAU","SH.STA.STNT.FE.ZS",7.8
"Senegal","SEN","SH.STA.STNT.FE.ZS",22.4
"Serbia","SRB","SH.STA.STNT.FE.ZS",7.6
"Sierra Leone","SLE","SH.STA.STNT.FE.ZS",39.425
"Singapore","SGP","SH.STA.STNT.FE.ZS",3.9
"Somalia","SOM","SH.STA.STNT.FE.ZS",41.3
"South Africa","ZAF","SH.STA.STNT.FE.ZS",30.5
"South Sudan","SSD","SH.STA.STNT.FE.ZS",32.9
"Sri Lanka","LKA","SH.STA.STNT.FE.ZS",18.3666666666667
"Sudan","SDN","SH.STA.STNT.FE.ZS",41.7
"Suriname","SUR","SH.STA.STNT.FE.ZS",9.76666666666667
"Swaziland","SWZ","SH.STA.STNT.FE.ZS",29.4333333333333
"Syrian Arab Republic","SYR","SH.STA.STNT.FE.ZS",27.6
"Tajikistan","TJK","SH.STA.STNT.FE.ZS",33.95
"Tanzania","TZA","SH.STA.STNT.FE.ZS",40.5
"Thailand","THA","SH.STA.STNT.FE.ZS",15
"Timor-Leste","TMP","SH.STA.STNT.FE.ZS",53.3333333333333
"Togo","TGO","SH.STA.STNT.FE.ZS",25.9666666666667
"Trinidad and Tobago","TTO","SH.STA.STNT.FE.ZS",3.5
"Tunisia","TUN","SH.STA.STNT.FE.ZS",8
"Turkey","TUR","SH.STA.STNT.FE.ZS",16.6
"Uganda","UGA","SH.STA.STNT.FE.ZS",36.1
"Ukraine","UKR","SH.STA.STNT.FE.ZS",22.8
"United States","USA","SH.STA.STNT.FE.ZS",2.8
"Uruguay","URY","SH.STA.STNT.FE.ZS",12.12
"Uzbekistan","UZB","SH.STA.STNT.FE.ZS",22
"Vanuatu","VUT","SH.STA.STNT.FE.ZS",20
"Vietnam","VNM","SH.STA.STNT.FE.ZS",32.1111111111111
"West Bank and Gaza","WBG","SH.STA.STNT.FE.ZS",11.2
"Yemen, Rep.","YEM","SH.STA.STNT.FE.ZS",56.9
"Zambia","ZMB","SH.STA.STNT.FE.ZS",46.9
"Zimbabwe","ZWE","SH.STA.STNT.FE.ZS",30.9
