"country","region","GII_2012","maternal_mortality_ratio","adolescent_fertility_rate_gii","seats_parlim_female_gii","labor_participation_female_gii","labor_participation_male_gii","ifpri_hunger_index","ifpri_under5_mortality","ifpri_undernourishment","ifpri_under5_underweight","labor_participation_female","labor_participation_total_ilo","labor_participation_total_nat","labor_participation_ratio_ilo","secondary_school_female","secondary_school_male","secondary_school_female_ratio","contraceptive_prevalence","hiv_rate_female","married_by_18_rate","adolescent_fertility_rate","labor_participation_female_ilo","labor_force_female_percent","account_at_financial_inst_female","female_legislators_officials_mgrs","mean_stunting","mean_malnutrition","secondary_education"
"Cameroon","Africa",0.628,690,115.1,13.9,64.2,77.4,14.5,12.7,15.7,15.1,47.20000076,47.6461533730769,49.29999924,81.6664290330769,43.8309842857143,40.7022285714286,79.4253636363636,20.15,54.2307692307692,40.6333333333333,135.670369230769,44.1076927185154,45.3940920028462,10.88144,NA,34.8333333333333,15.6333333333333,28
"Central African Republic","Africa",0.654,890,98.6,12.5,72.5,85.1,23.3,16.4,30,23.5,NA,63.1230770992308,NA,83.8706990815385,47.8061233333333,48.4240933333333,53.9976666666667,11.7333333333333,54.8846153846154,64.25,111.378108461538,57.2846157367538,46.9199962705923,3.411752,NA,44.85,24.9,18.25
"Chad","Africa",NA,1100,138.1,12.8,64.4,80.2,26.9,16.9,33.4,30.3,NA,56.5615386953846,NA,80.8628063692308,53.567358,63.466707,37.6140769230769,2.86666666666667,54.6923076923077,69.8,186.007923076923,56.3692304171,45.1352369045846,6.769446,NA,42.05,31.65,NA
"Chile","Americas",0.36,25,56,13.9,47.1,74.2,5,0.9,3.7,0.5,25.8538460369231,33.6230768053846,33.6307689961538,54.62719859,96.3698383333333,91.2945383333333,102.286583333333,40.0333333333333,12,NA,59.2027846153846,25.7538458017231,36.1161301198615,40.97443,32.7227988294,2,0.55,74
"China","Asia",0.213,37,9.1,21.3,67.7,80.1,5.5,1.5,11.5,3.4,NA,59.7307689369231,NA,83.2812203923077,NA,NA,100.478222222222,77.675,26.8153846153846,NA,8.00016923076923,58.1615389310385,44.1452628785308,60.00867,16.7524547475,14.4583333333333,5.3,62.6
"Colombia","Americas",0.459,92,68.1,13.6,55.8,79.7,5.9,1.8,12.6,3.4,35.5285712657143,49.5846152676923,42.8222223911111,66.0437446146154,96.3280466666667,96.3432855555556,110.171909090909,53.1,28.2384615384615,22.5,81.01657,41.0923080444231,41.2139826440692,25.35456,NA,15.65,4.48333333333333,43.1
"Comoros","Africa",NA,280,51.1,3,35.1,80.4,33.6,7.9,70,22.8,NA,39.8076920130769,NA,41.2147113584615,60.167495,64.310995,84.2024,10.2,28.4923076923077,NA,58.7027530769231,24.4846157660846,29.2777755335,17.89296,NA,46.9,24.95,NA
"Costa Rica","Americas",0.346,40,61.9,38.6,46.4,78.9,5,1,6.5,1.1,35.98181846,49.7923076330769,48.8272729345455,54.2991953915385,89.354005,93.71628875,106.410166666667,71.22,43.2,NA,69.1925230769231,36.6769227247769,34.5791333998769,40.66185,28.7991282690091,5.7,1.2,53.6
"Djibouti","Africa",NA,200,19.5,13.8,36,67.2,19.5,9,19.8,29.8,NA,44.5615384023077,NA,50.8615965376923,61.3049314285714,66.2095471428571,70.2816666666667,12.325,52.7538461538462,5.4,23.2359384615385,40.5769227834769,33.6857829065538,8.762782,NA,30.8333333333333,28.2,NA
"Dominican Republic","Americas",0.508,150,103.6,19.1,51,78.6,7,2.5,15.4,3.1,40.09999943,52.01538438,50.6999998075,61.7330445669231,92.4064,86.21560375,116.9598,51.75,48.4384615384615,40.475,107.008,40.6000002347308,38.3219875886462,37.37682,32.5805941346,9.88333333333333,3.71666666666667,42.5
