"country","region","GII_2012","maternal_mortality_ratio","adolescent_fertility_rate_gii","seats_parlim_female_gii","labor_participation_female_gii","labor_participation_male_gii","ifpri_hunger_index","ifpri_under5_mortality","ifpri_undernourishment","ifpri_under5_underweight","labor_participation_female","labor_participation_total_ilo","labor_participation_total_nat","labor_participation_ratio_ilo","secondary_school_female","secondary_school_male","secondary_school_female_ratio","contraceptive_prevalence","hiv_rate_female","married_by_18_rate","adolescent_fertility_rate","labor_participation_female_ilo","labor_force_female_percent","account_at_financial_inst_female","female_legislators_officials_mgrs","mean_stunting","mean_malnutrition","secondary_education"
"Pakistan","Asia",0.567,260,28.1,21.1,22.7,83.3,19.3,7.2,19.9,30.9,15.8166666033333,44.4000000592308,43.33333397,24.0558189976923,73.8887855555556,72.6396188888889,76.8759,25.4714285714286,25.1076923076923,24,34.6140307692308,17.5307692747846,18.5442223086692,2.953578,2.7049437609375,42.2,31.1,30.7
"Panama","Americas",0.503,92,75.9,8.5,49.6,82.5,5.4,2,10.2,3.9,33.5833334933333,49.4230769223077,48.0083328891667,58.2338578523077,87.512987,86.980147,107.588083333333,26.1,28.8769230769231,NA,85.9164615384615,34.5076921903308,36.4659283943077,23.3099,43.3079729985091,19.2,4,62.1
"Papua New Guinea","Oceania",0.617,230,62,2.7,70.6,74.1,NA,5.8,NA,14.5,60.79999924,59.2846154438462,59.20000076,95.7465483392308,NA,NA,NA,16.7,52.6769230769231,21.3,67.56886,60.4384613037077,48.3899328958846,NA,NA,43.5,17.8,10.45
"Peru","Americas",0.387,67,48.7,21.5,67.8,84.7,5.5,1.8,11.2,3.4,50.4428569242857,57.6846152092308,56.2428567042857,75.7315341215385,91.5898528571429,94.4533342857143,96.6338461538462,64.3375,29.3230769230769,18.6714285714286,56.8180453846154,51.6692308279154,43.2614696775462,17.56129,26.2318917734,29.75,5.01666666666667,53.2
"Philippines","Asia",0.418,99,46.5,22.1,49.7,79.4,13.2,2.5,17,20.2,36.890000154,47.70769266,47.790000153,62.1399890984615,96.45029875,97.58573875,110.543111111111,44.7,27.4461538461538,14.1,52.0968461538462,36.9769228421692,38.6204086766692,33.71373,57.4056810940875,33.1833333333333,20.5833333333333,64.8
"Romania","Europe",0.327,27,28.8,9.7,48.6,64.9,5,1.3,0.4,2,28.7538462407692,33.9076923961538,33.4692307984615,77.1976495146154,97.795921,97.898507,100.49525,36.15,28.1692307692308,NA,30.8706461538462,28.9230767763692,45.2441509042538,41.06061,30.210202323625,13.15,3.61666666666667,86.95
"Rwanda","Africa",0.414,340,35.5,51.9,86.4,85.4,15.3,5.4,28.9,11.7,76.30000305,73.7769235476923,74.80000305,101.766333861538,77.56502,77.82467,91.8268461538461,26.85,54.7153846153846,13.6333333333333,41.8724769230769,75.2923079270615,52.4913520322,28.24671,NA,48.1,16.6833333333333,7.7
"Saudi Arabia","Asia",0.682,24,22.1,0.1,17.7,74.1,5,0.9,2.6,9.3,7.399999891,18.4692307984615,17.7285716185714,23.1518559546154,98.143705,92.66199,91.8308333333333,12.9,0,NA,15.4980153846154,7.63076925276923,14.3497596954846,15.23301,7.66480520085,9.3,5.3,54.1
"Senegal","Africa",0.54,370,89.7,41.6,66.1,88.4,13.8,6.5,20.5,14.4,NA,66.8307694669231,NA,73.8782876069231,55.6657891666667,59.83813,75.2932222222222,9.3,61.3,35.95,99.9295823076923,53.5000002934462,44.5501431606308,5.450442,NA,23.775,17.1125,7.8
"Serbia","Europe",NA,12,19.2,32.4,NA,NA,5,0.7,4.9,1.6,28.3666667933333,34.0923071638462,31.27142879,71.6592936738462,99.0606116666667,98.885095,102.616615384615,34,21.5615384615385,5.4,20.4874153846154,27.7384615678,43.2161865353615,62.31583,30.8027768429286,7.325,1.675,85.4
"Sierra Leone","Africa",0.643,890,104.2,12.9,66.3,69.1,22.8,18.5,28.8,21.1,46.699998855,43.2076923669231,40.70000076,98.3550353261539,69.908975,65.506485,70.567,6.375,55.2538461538462,49.0666666666667,117.933076923077,47.9769231356,50.3094371347769,12.80254,NA,41.9125,23.8625,14.95
"Somalia","Africa",NA,1000,68,13.8,37.7,76.8,NA,18,NA,NA,NA,45.6692308284615,NA,48.0012617661538,NA,NA,46.047,7.8,46.9230769230769,45.3,123.168969230769,32.1000000880231,33.1602538771,27.29579,NA,42,32.75,NA
"South Africa","Africa",0.462,300,50.4,41.1,44,60.8,5.4,4.7,2.9,8.7,26.98461518,29.48461518,29.2538459484615,74.8976562746154,94.1491366666667,91.8921233333333,105.675363636364,40.6,54.6153846153846,5.6,62.1472138461538,26.8769233410077,44.7214788677461,51.02337,31.10566609435,32.85,11.6,70.55
"Sri Lanka","Asia",0.402,35,22.1,5.8,34.7,76.3,15.6,1.2,24,21.6,28.8999999654545,42.2846154430769,39.8090910490909,47.2190705576923,98.03888,96.88239375,103.9,34.7,32.0076923076923,11.8,23.1711076923077,30.3538463299077,32.9826155611,67.23842,21.7929539467857,18.3333333333333,21.8666666666667,74.05
"Sudan","Africa",0.604,730,53,24.1,30.9,76.5,27,9.4,39.4,32.2,26.29999924,35.4076922469231,35.59999847,40.0117937153846,91.1053475,87.00007125,NA,6.53333333333333,47.2230769230769,33.45,105.718663076923,26.8153842045846,28.7347915571692,4.354855,NA,42.95,32.725,15.5
"Suriname","Americas",0.467,130,34.9,11.8,40.5,68.7,6.7,3,11.4,5.8,NA,28.2384615676923,NA,56.6928332646154,53.8516366666667,42.41705,129.140875,31.4,47.6923076923077,18.95,40.9838615384615,15.9999999266385,36.1867480731769,NA,NA,11.3,8.21666666666667,43.8
"Swaziland","Africa",0.525,320,67.9,21.9,43.6,70.8,14.4,10.4,27,5.8,NA,44.6230765115385,NA,60.7155274592308,86.3873842857143,85.98529,99.817,38.975,54.1769230769231,5.75,90.1614315384615,37.4461540809231,39.8511840671,27.41395,NA,32.3833333333333,7.01666666666667,48
"Syrian Arab Republic","Asia",0.551,70,36.5,12,13.1,71.6,5,1.5,3.2,10.1,16.0444444022222,35.6076919853846,37.82222218,21.2311009469231,91.7526858333333,90.8267491666667,96.6539230769231,39.95,0,13.3,47.8674923076923,13.9923078096846,16.9480535799385,19.588,9.23317221223333,29.0333333333333,10.35,32.8
"Tajikistan","Asia",0.338,65,25.7,17.5,57.4,75.1,16.3,6.3,31.7,11,43.799999235,47.3384616561538,48.700000765,77.0510074684615,97.5662875,99.28738,84.8776666666667,25.9,30.0076923076923,12.7,43.2559546153846,38.8461541396077,43.7625499766231,2.135162,NA,36.1,14.9,89.5
"Thailand","Asia",0.36,48,37,15.7,63.8,80,5.8,1.2,7.3,9,42.6000000641667,50.1076924246154,50.0166667308333,80.3712166938462,88.77077,84.86864,105.298454545455,61.14,37.0615384615385,19.6,41.3730769230769,43.0000000000154,46.0952232637,72.63754,26.4665623739364,15.75,7,32.3
"Timor-Leste","Asia",NA,300,52.3,38.5,38.4,74.1,29.6,5.4,38.2,45.3,28.26666673,27.1769230192308,33.73333359,49.0497772969231,88.6083733333333,86.3649733333333,98.6698333333333,12.62,0,18.9,64.4016161538461,20.8923077950077,32.1234083307615,NA,10.3015397884,55.75,44.7666666666667,NA
"Togo","Africa",0.566,300,54.3,11.1,80.4,81.4,14.7,11,16.5,16.6,68.5,66.1230773915385,65.69999695,98.2275839684615,62.5757681818182,69.4217536363636,49.842375,11,54.6307692307692,24.75,90.8924,67.6769227247923,51.1412567881538,9.217669,NA,28.1,19.7166666666667,30.2
"Trinidad and Tobago","Americas",0.311,46,31.6,27.4,54.9,78.3,5,2.8,9.3,2.6,43.124999045,51.4615384615385,51.8249998075,67.4218391015385,93.1705483333333,90.9541666666667,107.122,21.25,48.7384615384615,8.1,37.7327984615385,43.1615386376077,40.9619082956308,69.85585,40.1053021951667,5.25,4.35,59.3
"Tunisia","Africa",0.261,56,4.4,26.7,25.5,70,5,1.6,0.9,2.3,NA,33.1000002346154,32,34.93322876,88.0568155555556,83.7364533333333,106.7219,46.575,44.9769230769231,1.6,5.85370761538462,21.8461536994462,26.3538858264769,25.22964,NA,8.95,3.3,37.15
"Turkey","Asia",0.366,20,30.5,14.2,28.1,71.4,5,1.5,0.9,1.7,26.1999997369231,40.3384616553846,39.0076924838462,36.8087486353846,95.1136914285714,97.5975085714286,81.81675,54.75,28.7230769230769,14,39.8313230769231,26.1769231649385,28.1011027180769,32.67998,8.1268484824,15.65,3.5,34.55
"Uganda","Africa",0.517,310,126.4,35,76,79.5,19.2,9,34.6,14.1,NA,61.9307699946154,NA,96.5434519076923,48.3225745454545,48.3658572727273,80.7139,19.44,53.3307692307692,46.6333333333333,154.105061538462,62.3538463299077,49.3022971973154,15.06352,33.3333321816,39.05,16.5,23.45
"Ukraine","Europe",0.338,32,26.1,8,53.3,66.6,5,1,0.9,1.2,36.159999846,40.7923079284615,40.340000151,80.0665714538462,99.5261822222222,99.4331277777778,98.477,44.4333333333333,36.2,8.15,29.7241692307692,36.4461532005846,49.1137820292615,39.20775,38.8771787164111,22.85,4.15,93.8
"Uruguay","Americas",0.367,29,59,12.3,55.6,76.5,5,1,5,4.5,43.0666669216667,55.4615387561538,50.69999949,70.7412423653846,87.128863,74.943651,112.759272727273,52,18.6230769230769,NA,61.5554,46.9923078096923,43.9248357515615,23.82965,37.8461257166857,13.85,5.25,49.7
"Uzbekistan","Asia",NA,28,12.8,19.2,47.7,74.7,5.3,4.9,6.1,5,NA,43.6000002346154,NA,64.9174298738461,99.0847336363636,99.7867181818182,97.4054166666667,44.5333333333333,22.8076923076923,10.05,46.9525538461538,32.7615382854769,40.1176965544692,21.29315,NA,22.425,5.725,NA
"Zambia","Africa",0.623,440,138.5,11.5,73.2,85.6,24.1,8.3,47.4,16.7,36.20000076,68.2076926584615,54.25,85.90134094,60.8328833333333,57.7137077777778,87.467,26,47.6230769230769,41.85,142.359076923077,65.5153849675154,46.4411297715308,23.33739,NA,49.175,19.15,34.95
"Zimbabwe","Africa",0.544,570,53.4,17.9,83,89.5,16.5,6.7,32.8,10.1,51.90000153,76.2923079261539,55.70000076,91.0025854376923,NA,NA,88.79225,46.4,54.4923076923077,31.4,74.1982138461538,73.1153843219385,48.7215224590846,37.12441,NA,34.1,12.05,55.4
